ref,titulo,preco,link_imagem,link_produto,ing_date,nome,marca,preco_numeric,quantidade,preco_qnt,especificacao,especificacao_rota,link_imagem_srv
3fc276b6,creatine creapure darkness,"137,92",https://integralmedica.vteximg.com.br/arquivos/ids/165471-350-350/150g.png?v=638223508022800000,https://www.darkness.com.br/creatine-creapure/p,31/01/2024,creatine creapure darkness,darkness,137.92,,,,creatine aminoacido,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/3fc276b6.webp
4314043b,creatine darkness,"150,96",https://integralmedica.vteximg.com.br/arquivos/ids/166144-350-350/DARKNESS-CREATINE-ME3129-2_TAMPA-300G-1000x1000.png?v=638363679437400000,https://www.darkness.com.br/creatine-darkness/p,31/01/2024,creatine darkness,darkness,150.96,,,,creatine aminoacido,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/4314043b.webp
fb3585d7,dark bar,"129,28",https://integralmedica.vteximg.com.br/arquivos/ids/165463-350-350/DARKBAR-CHOCO-CASTANHA.png?v=638223505134970000,https://www.darkness.com.br/dark-bar/p,31/01/2024,dark bar,darkness,129.28,,,,protein barra,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/fb3585d7.webp
5eeb22e1,darkwhey,"134,32",https://integralmedica.vteximg.com.br/arquivos/ids/166012-350-350/darkwheybau900gME3768.png?v=638349604675800000,https://www.darkness.com.br/darkwhey/p,31/01/2024,darkwhey,darkness,134.32,,,,whey protein,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/5eeb22e1.webp
161e3107,carnibol,"188,52",https://integralmedica.vteximg.com.br/arquivos/ids/165496-350-350/CARNIBOL-CHOCOLATE-907g.png?v=638223541985470000,https://www.darkness.com.br/carnibol/p,31/01/2024,carnibol,darkness,188.52,,,,protein,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/161e3107.webp
17dc82c9,glutamine,"86,13",https://integralmedica.vteximg.com.br/arquivos/ids/165472-350-350/GLUTAMINE-350g.png?v=638223508662670000,https://www.darkness.com.br/glutamine-darkness/p,31/01/2024,glutamine,darkness,86.13,,,,glutamin aminoacido,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/17dc82c9.webp
644c670b,evora pw,"75,52",https://integralmedica.vteximg.com.br/arquivos/ids/165482-350-350/7062_PRETREINO_150G_FRUTAS_AMARELAS.png?v=638223514598030000,https://www.darkness.com.br/pre-treino-evora/p,31/01/2024,évora pw,darkness,75.52,,, alanina iso veg,,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/644c670b.webp
f67124aa,monsterone,"150,02",https://integralmedica.vteximg.com.br/arquivos/ids/165473-350-350/7061_HIPERCALORICO_baunilha.png?v=638223509107630000,https://www.darkness.com.br/hipercalorico-monsterone/p,31/01/2024,monsterone,darkness,150.02,,,,hipercalorico,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/f67124aa.webp
8d456799,amino hard,"131,74",https://integralmedica.vteximg.com.br/arquivos/ids/165476-350-350/7063_INTRATREINO_AMINOHARD_frutas_amarelas--2-.png?v=638223510154170000,https://www.darkness.com.br/aminohard/p,31/01/2024,amino hard,darkness,131.74,,,,aminoacido,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/8d456799.webp
6a1abce5,evora rtd,"55,59",https://integralmedica.vteximg.com.br/arquivos/ids/165481-350-350/7062_PRETREINO_EVORARTD.png?v=638223513955000000,https://www.darkness.com.br/evora-pw-rtd/p,31/01/2024,évora rtd,darkness,55.59,,, cafein iso taurina,,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/6a1abce5.webp
9e127a42,vasculor,"116,12",https://integralmedica.vteximg.com.br/arquivos/ids/165502-350-350/7066_TERMOGENICO_VASCULAR.png?v=638223624631970000,https://www.darkness.com.br/vasculor/p,31/01/2024,vasculor,darkness,116.12,,, arginin alanina taurina,,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/9e127a42.webp
40eab9ac,oxydrol,"70,19",https://integralmedica.vteximg.com.br/arquivos/ids/165500-350-350/7066_TERMOGENICO_OXYDROL.png?v=638223622836600000,https://www.darkness.com.br/oxydrol/p,31/01/2024,oxydrol,darkness,70.19,,,,termogenico,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/40eab9ac.webp
bcb946af,bcaa powder fix,"109,12",https://integralmedica.vteximg.com.br/arquivos/ids/165674-350-350/bcaa-powder-fix-neutro-200g-darkness.jpg?v=638278836652900000,https://www.darkness.com.br/bcaa-powder/p,31/01/2024,bcaa powder fix,darkness,109.12,,,,bcaa aminoacido,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/bcb946af.webp
04ba683b,bcaa fix 4500,"100,72",https://integralmedica.vteximg.com.br/arquivos/ids/165462-350-350/BCAAFIX-NEUTRO-120caps.png?v=638223502773970000,https://www.darkness.com.br/bcaa-fix-4500/p,31/01/2024,bcaa fix 4500,darkness,100.72,,,,bcaa aminoacido,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/04ba683b.webp
9f59939e,mega pack power workout,"180,51",https://integralmedica.vteximg.com.br/arquivos/ids/165169-350-350/DARKNESS-megapackPW30-ME3339-1000x1000.png?v=638183025859400000,https://www.darkness.com.br/mega-pack-power-workout/p,31/01/2024,mega pack power workout,darkness,180.51,,, alanina cafein magnesio,,https://raw.githubusercontent.com/GustavoFortti/dataindex-img/master/imgs/9f59939e.webp
